Ticker,Score,Cor,Setor
CMCSA,44.37,amarelo,Technology.csv
KDP,44.22,amarelo,Consumer Non-Cyclicals.csv
MA,44.21,amarelo,Technology.csv
CCL,44.2,amarelo,Consumer Cyclicals.csv
KMB,44.11,amarelo,Consumer Non-Cyclicals.csv
HWM,44.1,amarelo,INDUSTRIA.csv
SPOT,44.0,amarelo,Technology.csv
TSLA,44.0,amarelo,Consumer Cyclicals.csv
MDLZ,43.99,amarelo,Consumer Non-Cyclicals.csv
URI,43.91,amarelo,INDUSTRIA.csv
MPLX,43.68,amarelo,ENERGIA .csv
MDT,43.67,amarelo,Healthcare.csv
VSTA,43.65,amarelo,Academic & Educational Services.csv
LLY,43.64,amarelo,Healthcare.csv
F,43.51,amarelo,Consumer Cyclicals.csv
UPS,43.51,amarelo,INDUSTRIA.csv
MLM,43.5,amarelo,Basic Materials.csv
CUK,43.36,amarelo,Consumer Cyclicals.csv
AVY,43.25,amarelo,Basic Materials.csv
ACN,43.19,amarelo,Technology.csv
WSM,42.95,amarelo,Consumer Cyclicals.csv
BRK-B,42.93,amarelo,Consumer Non-Cyclicals.csv
CCEP,42.8,amarelo,Consumer Non-Cyclicals.csv
AZO,42.64,amarelo,Consumer Cyclicals.csv
CMS,42.52,amarelo,Utilities.csv
PNC,42.5,amarelo,Financials.csv
NVR,42.44,amarelo,Consumer Cyclicals.csv
AEM,42.34,amarelo,Basic Materials.csv
ROL,42.22,amarelo,INDUSTRIA.csv
LHX,42.21,amarelo,INDUSTRIA.csv
STRA,42.12,amarelo,Academic & Educational Services.csv
ROK,42.03,amarelo,INDUSTRIA.csv
ICE,41.8,amarelo,Financials.csv
EME,41.74,amarelo,INDUSTRIA.csv
NOC,41.71,amarelo,INDUSTRIA.csv
AMZN,41.54,amarelo,Consumer Cyclicals.csv
GD,41.51,amarelo,INDUSTRIA.csv
INTC,41.5,amarelo,Technology.csv
IRM,41.5,amarelo,Real Estate.csv
LAUR,41.4,amarelo,Academic & Educational Services.csv
BAC,41.39,amarelo,Financials.csv
GILD,41.31,amarelo,Healthcare.csv
VICI,41.16,amarelo,Real Estate.csv
LNT,41.1,amarelo,Utilities.csv
ELV,41.05,amarelo,Healthcare.csv
MT,41.05,amarelo,Basic Materials.csv
BMY,40.98,amarelo,Healthcare.csv
WMB,40.95,amarelo,ENERGIA .csv
LYV,40.94,amarelo,Consumer Cyclicals.csv
EMR,40.8,amarelo,INDUSTRIA.csv
NWG,40.67,amarelo,Financials.csv
EVRG,40.62,amarelo,Utilities.csv
MS,40.6,amarelo,Financials.csv
LULU,40.56,amarelo,Consumer Cyclicals.csv
CAT,40.52,amarelo,INDUSTRIA.csv
UNH,40.34,amarelo,Healthcare.csv
CNP,40.33,amarelo,Utilities.csv
VRTX,40.25,amarelo,Healthcare.csv
SU,40.19,amarelo,ENERGIA .csv
AVGO,40.15,amarelo,Technology.csv
WFC,40.14,amarelo,Financials.csv
NTR,40.11,amarelo,Basic Materials.csv
NRG,40.01,amarelo,Utilities.csv
DELL,39.98,vermelho,Technology.csv
RPM,39.81,vermelho,Basic Materials.csv
RCI,39.78,vermelho,Technology.csv
ORCL,39.75,vermelho,Technology.csv
AFYA,39.38,vermelho,Academic & Educational Services.csv
NUE,39.38,vermelho,Basic Materials.csv
BKR,39.36,vermelho,ENERGIA .csv
MPC,39.26,vermelho,ENERGIA .csv
GM,39.14,vermelho,Consumer Cyclicals.csv
NSC,38.99,vermelho,INDUSTRIA.csv
CHTR,38.89,vermelho,Technology.csv
CHTR,38.89,vermelho,Technology.csv
NEM,38.81,vermelho,Basic Materials.csv
GOOG,38.73,vermelho,Technology.csv
GOOGL,38.68,vermelho,Technology.csv
CMI,38.61,vermelho,Consumer Cyclicals.csv
AMD,38.5,vermelho,Technology.csv
EDU,38.24,vermelho,Academic & Educational Services.csv
CRWD,38.0,vermelho,Technology.csv
CPNG,38.0,vermelho,Consumer Cyclicals.csv
VRT,38.0,vermelho,INDUSTRIA.csv
DHI,37.89,vermelho,Consumer Cyclicals.csv
GHC,37.52,vermelho,Academic & Educational Services.csv
WELL,37.0,vermelho,Real Estate.csv
JPM,36.9,vermelho,Financials.csv
JNJ,36.84,vermelho,Healthcare.csv
SYY,36.84,vermelho,Consumer Non-Cyclicals.csv
